gene	tpm_wt	label	strain	tpm_mutant	background	knockout
13	0.00979804159769017		11-44-phi9v2	0.0126757520317024	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
14	0.01804931561400329		11-44-phi9v2	0.023204236931462084	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
15	0.013813525210848188		11-44-phi9v2	0.0180763898471346	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
16	0.009544124375287162		11-44-phi9v2	0.014726527894800067	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
17	0.02197047996468145		11-44-phi9v2	0.034300641902510434	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
17.5	0.0217402318217589		11-44-phi9v2	0.02629610324588135	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
18	0.018712417900320275		11-44-phi9v2	0.0269385445872182	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
18.5	0.012517383721651175		11-44-phi9v2	0.023799907435125733	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
18.7	0.012856258692398162		11-44-phi9v2	0.02265263975584295	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
19	0.010738206128414174		11-44-phi9v2	0.022427223608187684	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
19.2	0.015298211061326937		11-44-phi9v2	0.034960985372552135	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
19.3	0.015641304573933774		11-44-phi9v2	0.0324605941485428	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
19.5	0.041365523145565235		11-44-phi9v2	0.06741867123265297	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
0.3	0.0009473417853596758		11-44-phi10	0.0009623903471722513	"paste(""10""[""deop""])"	"paste(Delta, phi, ""10"")"
0.4	1.5760609980165976e-06		11-44-phi10	3.96930389122926e-07	"paste(""10""[""deop""])"	"paste(Delta, phi, ""10"")"
0.7	0.00045426013250041597		11-44-phi10	0.000451379687166777	"paste(""10""[""deop""])"	"paste(Delta, phi, ""10"")"
0.5	9.070193380385774e-07		11-44-phi10	4.888785985447507e-07	"paste(""10""[""deop""])"	"paste(Delta, phi, ""10"")"
0.6B	4.286619184509195e-07		11-44-phi10	3.39302991703988e-07	"paste(""10""[""deop""])"	"paste(Delta, phi, ""10"")"
0.6A	2.157146854190165e-07		11-44-phi10	2.9677545421245168e-08	"paste(""10""[""deop""])"	"paste(Delta, phi, ""10"")"
1	0.0011262250376203181		11-44-phi10	0.0012933202411342666	"paste(""10""[""deop""])"	"paste(Delta, phi, ""10"")"
1.2	0.006946088163029126		11-44-phi10	0.008138089323179694	"paste(""10""[""deop""])"	"paste(Delta, phi, ""10"")"
